"","ateneo","classe_di_laurea","corso_di_studio","year","Topic","regione","numero_di_università_reg"
"1","BARI","L-2","Biotecnologie Industriali per lo Sviluppo Sostenibile",2022,"Bioeconomia","Puglia",7
"2","BARI","L-2","Biotecnologie Industriali per lo Sviluppo Sostenibile",2022,"Green","Puglia",7
"3","BARI","L-10","Lettere",2022,"Soft Skills","Puglia",7
"4","BARI","L-P02","Tecniche per l'agricoltura sostenibile",2022,"Agricoltura Di Precisione","Puglia",7
"5","BARI","L-P02","Tecniche per l'agricoltura sostenibile",2022,"Economia Circolare","Puglia",7
"6","BARI","LM-18","informatica",2022,"Artificial Intelligence","Puglia",7
"7","BARI","LM-69","Medicina delle Piante",2022,"Soft Skills","Puglia",7
"8","BARI","LM-69","SVILUPPO DELL’INNOVAZIONE NEI SISTEMI AGROALIMENTARI",2022,"Economia Circolare","Puglia",7
"9","BARI","LM-69","SVILUPPO DELL’INNOVAZIONE NEI SISTEMI AGROALIMENTARI",2022,"Bioeconomia","Puglia",7
"10","BARI","LM-70","Scienze e Tecnologie Alimentari",2022,"Economia Circolare","Puglia",7
"11","BARI","LM-77","Gestione Strategica e Marketing Digitale",2022,"Digital Marketing","Puglia",7
"12","BARI","LM-77","Gestione Strategica e Marketing Digitale",2022,"Big Data","Puglia",7
"13","BARI","LM-77","Gestione Strategica e Marketing Digitale",2022,"Business Analytics","Puglia",7
"14","BARI","LM-77","Gestione Strategica e Marketing Digitale",2022,"Soft Skills","Puglia",7
"15","BARI","LM-77","Innovazione, Governance e Sostenibilità",2022,"Economia Circolare","Puglia",7
"16","BARI","LM-77","Innovazione, Governance e Sostenibilità",2022,"Green","Puglia",7
"17","BARI","LM-91","Data Science",2022,"Data Science","Puglia",7
"18","BARI","LM-91","Data Science",2022,"Cloud","Puglia",7
"19","BARI","LM-91","Data Science",2022,"Machine Learning","Puglia",7
"20","BARI","LM/DS","Scienze strategiche marittimo-portuali",2022,"Green","Puglia",7
"21","BARI","LM/SC-GIUR","Diritto dello sviluppo sostenibile",2022,"Giustizia Sociale","Puglia",7
"22","BARI","LM Data","Data Science",2022,"Big Data","Puglia",7
"23","BARI","LM Data","Data Science",2022,"Data Science","Puglia",7
"24","BARI","LM Data","Data Science",2022,"Cloud","Puglia",7
"25","BARI","LM Data","Data Science",2022,"Machine Learning","Puglia",7
"26","Politecnico di BARI","L-8","Ingegneria dei Sistemi Medicali",2022,"Big Data","Puglia",7
"27","Politecnico di BARI","LM-28","Ingegneria Elettrica",2022,"Mobilità Elettrica","Puglia",7
"28","Politecnico di BARI","LM-30","Ingegneria energetica",2022,"Green","Puglia",7
"29","Politecnico di BARI","LM-33","Ingegneria Meccanica",2022,"Big Data","Puglia",7
"30","Politecnico di BARI","LM-33","Ingegneria Meccanica",2022,"Data Science","Puglia",7
"31","Politecnico di BARI","LM Data","Trasformazione Digitale",2022,"Big Data","Puglia",7
"32","Politecnico di BARI","LM Data","Trasformazione Digitale",2022,"Machine Learning","Puglia",7
"33","Politecnico di BARI","LM Data","Trasformazione Digitale",2022,"Data Analytics","Puglia",7
"34","LUM ""Giuseppe Degennaro""","L/GASTR","Enogastronomia e Hotellerie internazionale",2022,"Nutraceutica","Puglia",7
"35","LUM ""Giuseppe Degennaro""","LM-77","ECONOMIA E MANAGEMENT",2022,"Data Science","Puglia",7
"36","LUM ""Giuseppe Degennaro""","LM-77","ECONOMIA E MANAGEMENT",2022,"Digital Transformation","Puglia",7
"37","LUM ""Giuseppe Degennaro""","LM-77","ECONOMIA E MANAGEMENT",2022,"Sustainability","Puglia",7
"38","LUM ""Giuseppe Degennaro""","LM-77","ECONOMIA E MANAGEMENT",2022,"Blockchain","Puglia",7
"39","LUM ""Giuseppe Degennaro""","LM-77","ECONOMIA E MANAGEMENT",2022,"Cybersecurity","Puglia",7
"40","BASILICATA","LM-41","Medicina e chirurgia",2022,"Malattie Rare","Basilicata",1
"41","BASILICATA","LM-70","Scienze e Tecnologie Alimentari",2022,"Economia Circolare","Basilicata",1
"42","BERGAMO","LM-16","Economia e Finanza",2022,"Data Analytics","Lombardia",13
"43","BERGAMO","LM-16","Economia e Finanza",2022,"Green","Lombardia",13
"44","BERGAMO","LM-16","Economia e Finanza",2022,"Machine Learning","Lombardia",13
"45","BERGAMO","LM-31","Ingegneria e gestione delle tecnologie per la salute",2022,"Cybersecurity","Lombardia",13
"46","BERGAMO","LM-37","STUDI INTERCULTURALI IN LINGUE E LETTERATURE",2022,"Digital Humanities","Lombardia",13
"47","BERGAMO","LM-56","Economia e analisi dei dati",2022,"Big Data","Lombardia",13
"48","BERGAMO","LM-56","Economia e analisi dei dati",2022,"Machine Learning","Lombardia",13
"49","BERGAMO","LM-77","ECONOMIA AZIENDALE, DIREZIONE AMMINISTRATIVA E PROFESSIONE",2022,"Sustainability","Lombardia",13
"50","BERGAMO","LM-77","Management, Marketing e Finanza",2022,"Digital Marketing","Lombardia",13
"51","BERGAMO","LM-80","GEOURBANISTICA. Analisi e pianificazione territoriale, urbana, ambientale e valorizzazione del paesaggio",2022,"Big Data","Lombardia",13
"52","BERGAMO","LM-81","Diritti umani, migrazioni e cooperazione internazionale",2022,"Obiettivi Di Sviluppo Sostenibile","Lombardia",13
"53","BERGAMO","LM-81","Diritti umani, migrazioni e cooperazione internazionale",2022,"Giustizia Riparativa","Lombardia",13
"54","BOLOGNA","L-2","Genomica",2022,"Data Science","Emilia-Romagna",4
"55","BOLOGNA","L-14","Consulente del lavoro e delle relazioni aziendali",2022,"Big Data","Emilia-Romagna",4
"56","BOLOGNA","L-14","Consulente del lavoro e delle relazioni aziendali",2022,"Cybersecurity","Emilia-Romagna",4
"57","BOLOGNA","L-25","Economia e Marketing nel sistema agro-industriale",2022,"Economia Circolare","Emilia-Romagna",4
"58","BOLOGNA","L-33","Economia, politica e scienze sociali",2022,"Big Data","Emilia-Romagna",4
"59","BOLOGNA","L-33","Economia, politica e scienze sociali",2022,"Python","Emilia-Romagna",4
"60","BOLOGNA","L-P01","Tecniche per l'edilizia e il territorio",2022,"Building Information Modeling","Emilia-Romagna",4
"61","BOLOGNA","L-P03","Tecnologie dei sistemi informatici",2022,"Cloud","Emilia-Romagna",4
"62","BOLOGNA","L-P03","Tecnologie dei sistemi informatici",2022,"Big Data","Emilia-Romagna",4
"63","BOLOGNA","LM-4","Architettura e pratiche creative per la città e il territorio",2022,"Economia Circolare","Emilia-Romagna",4
"64","BOLOGNA","LM-8","Biotecnologie molecolari e industriali",2022,"Economia Circolare","Emilia-Romagna",4
"65","BOLOGNA","LM-15","FILOLOGIA, LETTERATURA E TRADIZIONE CLASSICA",2022,"Digital Humanities","Emilia-Romagna",4
"66","BOLOGNA","LM-16","Mercato energetico rinnovabile e Finanza",2022,"Python","Emilia-Romagna",4
"67","BOLOGNA","LM-17","Metodi avanzati in fisica delle particelle",2022,"Big Data","Emilia-Romagna",4
"68","BOLOGNA","LM-17","Metodi avanzati in fisica delle particelle",2022,"Machine Learning","Emilia-Romagna",4
"69","BOLOGNA","LM-18","Intelligenza Artificiale",2022,"Artificial Intelligence","Emilia-Romagna",4
"70","BOLOGNA","LM-18","Intelligenza Artificiale",2022,"Machine Learning","Emilia-Romagna",4
"71","BOLOGNA","LM-18","Intelligenza Artificiale",2022,"Data Science","Emilia-Romagna",4
"72","BOLOGNA","LM-18","Intelligenza Artificiale",2022,"Soft Skills","Emilia-Romagna",4
"73","BOLOGNA","LM-18","Informatica",2022,"Soft Skills","Emilia-Romagna",4
"74","BOLOGNA","LM-32","Ingegneria informatica",2022,"Big Data","Emilia-Romagna",4
"75","BOLOGNA","LM-32","Ingegneria informatica",2022,"Cloud Computing","Emilia-Romagna",4
"76","BOLOGNA","LM-43","Informatica umanistica e cultura digitale",2022,"Digital Humanities","Emilia-Romagna",4
"77","BOLOGNA","LM-52","RELAZIONI INTERNAZIONALI",2022,"Soft Skills","Emilia-Romagna",4
"78","BOLOGNA","LM-54","Innovazione e regolamentazione chimica",2022,"Economia Circolare","Emilia-Romagna",4
"79","BOLOGNA","LM-54","Innovazione e regolamentazione chimica",2022,"Green","Emilia-Romagna",4
"80","BOLOGNA","LM-54","Chimica",2022,"Green","Emilia-Romagna",4
"81","BOLOGNA","LM-63","Governance e politiche dell’innovazione digitale",2022,"Cloud","Emilia-Romagna",4
"82","BOLOGNA","LM-63","Governance e politiche dell’innovazione digitale",2022,"Data Science","Emilia-Romagna",4
"83","BOLOGNA","LM-69","Agricoltura di precisione e sostenibile",2022,"Agricoltura Di Precisione","Emilia-Romagna",4
"84","BOLOGNA","LM-71","Tecnologie a bassa intensita' di carbonio e chimica sostenibile",2022,"Green","Emilia-Romagna",4
"85","BOLOGNA","LM-74","Geologia e Territorio",2022,"Economia Circolare","Emilia-Romagna",4
"86","BOLOGNA","LM-77","Management internazionale",2022,"Big Data","Emilia-Romagna",4
"87","BOLOGNA","LM-82","SCIENZE STATISTICHE",2022,"Big Data","Emilia-Romagna",4
"88","BOLOGNA","LM-86","Metabolismo e gestione delle produzioni animali nell'economia circolare",2022,"Economia Circolare","Emilia-Romagna",4
"89","BOLOGNA","LM-91","Gestione della trasformazione digitale",2022,"Digital Transformation","Emilia-Romagna",4
"90","BOLOGNA","LM-91","Gestione della trasformazione digitale",2022,"Data Science","Emilia-Romagna",4
"91","BOLOGNA","LM/SC-GIUR","Scienze Giuridiche",2022,"Giustizia Sociale","Emilia-Romagna",4
"92","Libera Università di BOLZANO","L-31","Informatica e Management delle Aziende digitali",2022,"Soft Skills","Trentino-Alto Adige",2
"93","Libera Università di BOLZANO","L-39","Servizio sociale",2022,"Giustizia Sociale","Trentino-Alto Adige",2
