"","Topic","regione","n","region"
"1","Agricoltura Di Precisione","Abruzzo",1,"ABRUZZO"
"2","Analisi Delle Serie Storiche","Abruzzo",1,"ABRUZZO"
"3","Analytics","Abruzzo",1,"ABRUZZO"
"4","Artificial Intelligence","Abruzzo",0,"ABRUZZO"
"5","Big Data","Abruzzo",5,"ABRUZZO"
"6","Bioeconomia","Abruzzo",0,"ABRUZZO"
"7","Blockchain","Abruzzo",0,"ABRUZZO"
"8","Building Information Modeling","Abruzzo",0,"ABRUZZO"
"9","Business Analytics","Abruzzo",1,"ABRUZZO"
"10","Clinical Practice","Abruzzo",0,"ABRUZZO"
"11","Cloud","Abruzzo",0,"ABRUZZO"
"12","Cloud Computing","Abruzzo",1,"ABRUZZO"
"13","Competenze Digitali","Abruzzo",0,"ABRUZZO"
"14","Cybersecurity","Abruzzo",1,"ABRUZZO"
"15","Data Analytics","Abruzzo",1,"ABRUZZO"
"16","Data Management","Abruzzo",0,"ABRUZZO"
"17","Data Science","Abruzzo",2,"ABRUZZO"
"18","Deep Learning","Abruzzo",0,"ABRUZZO"
"19","Digital Humanities","Abruzzo",0,"ABRUZZO"
"20","Digital Marketing","Abruzzo",1,"ABRUZZO"
"21","Digital Transformation","Abruzzo",0,"ABRUZZO"
"22","Diritto Della Proprietà Intellettuale","Abruzzo",0,"ABRUZZO"
"23","Economia Circolare","Abruzzo",1,"ABRUZZO"
"24","Ethics","Abruzzo",0,"ABRUZZO"
"25","Fake News","Abruzzo",0,"ABRUZZO"
"26","Flipped Classroom","Abruzzo",0,"ABRUZZO"
"27","Genealogia","Abruzzo",0,"ABRUZZO"
"28","Giustizia Riparativa","Abruzzo",0,"ABRUZZO"
"29","Giustizia Sociale","Abruzzo",0,"ABRUZZO"
"30","Green","Abruzzo",0,"ABRUZZO"
"31","Green Economy","Abruzzo",1,"ABRUZZO"
"32","Industrial Engineering","Abruzzo",0,"ABRUZZO"
"33","Internet Delle Cose","Abruzzo",0,"ABRUZZO"
"34","Internet Of Things","Abruzzo",1,"ABRUZZO"
"35","Machine Learning","Abruzzo",4,"ABRUZZO"
"36","Malattie Rare","Abruzzo",0,"ABRUZZO"
"37","Marketing Digitale","Abruzzo",2,"ABRUZZO"
